,query,verbs,nouns,verb_noun,cancel_noun_verb
18550,"I can't find my bill, check it","find,check",bill,"find,check,bill",FALSE
18551,"please, can u ask an agent how i can view my bills?","ask,view","agent,bills","ask,view,agent,bills",FALSE
18552,"could you ask an agent if I could view my bills, please ?","ask,view","agent,bills","ask,view,agent,bills",FALSE
18553,could you ask an agent how I could see my invoices?,"ask,see","agent,invoices","ask,see,agent,invoices",FALSE
18554,can you give me information about my invoice?,give,"information,invoice","give,information,invoice",FALSE
18555,"I want to view my bills, what should I do?","want,view,do",bills,"want,view,do,bills",FALSE
18556,"I lost my bills, check them","lost,check",bills,"lost,check,bills",FALSE
18557,i can't find my bill and i want to see it,"find,want,see",bill,"find,want,see,bill",FALSE
18558,"please, ask an agent where to view my fucking invoice","ask,view","agent,invoice","ask,view,agent,invoice",FALSE
18559,"I didn't receive my bills, I need help viewing them","receive,need,viewing","bills,help","receive,need,viewing,bills,help",FALSE
18560,"can u ask an agent to give me information about my bill, please?","ask,give","agent,information,bill","ask,give,agent,information,bill",FALSE
18561,I lost my bill and I want to check it,"lost,want,check",bill,"lost,want,check,bill",FALSE
18562,"ask an agent about my bills, please",ask,"agent,bills","ask,agent,bills",FALSE
18563,can u show me my bill?,show,bill,"show,bill",FALSE
18564,"I can't find my bills, what do I have to do to view them?","find,have,do,view",bills,"find,have,do,view,bills",FALSE
18565,"i lost my bill, how do i see it?","lost,see",bill,"lost,see,bill",FALSE
18566,how do I see my invoice?,see,invoice,"see,invoice",FALSE
18567,can you give me information about my fucking invoice?,give,"information,invoice","give,information,invoice",FALSE
18568,"I lost my invoice, what do I have to do to see ti?","lost,have,do,see","invoice,ti","lost,have,do,see,invoice,ti",FALSE
18569,"I can't find my fucking invoice, what do I have to do to see it?","find,have,do,see",invoice,"find,have,do,see,invoice",FALSE
18570,"I can't find my invoices , help me see them","find,help,see",invoices,"find,help,see,invoices",FALSE
18571,"I lst my inviices, what can I do to check them?","lst,do,check",inviices,"lst,do,check,inviices",FALSE
18572,"please, could u ask an agent where i could check my fucking bills?","ask,check","agent,bills","ask,check,agent,bills",FALSE
18573,"I can't find my bill, what should I do to see it?","find,do,see",bill,"find,do,see,bill",FALSE
18574,help me see my invoices,"help,see",invoices,"help,see,invoices",FALSE
18575,"I xidn't receive my bills, help me view them","receive,help,view",bills,"receive,help,view,bills",FALSE
18576,"I want to view my bill, can you help me?","want,view,help",bill,"want,view,help,bill",FALSE
18577,"I can't find my bill and I'd like to view it, please","find,like,view",bill,"find,like,view,bill",FALSE
18578,"i can't find my bills, help me view them","find,help,view",bills,"find,help,view,bills",FALSE
18579,"i can't find my invoices, what do i have to do to check them?","find,have,do,check",invoices,"find,have,do,check,invoices",FALSE
18580,"I lost my invoice, how do I view it?","lost,view",invoice,"lost,view,invoice",FALSE
18581,can u ask an agent to show me information about my invoice?,"ask,show","agent,information,invoice","ask,show,agent,information,invoice",FALSE
18582,"I didn't receive my bills, what van I do to view them?","receive,do,view","bills,van","receive,do,view,bills,van",FALSE
18583,"I can't find my bill, what should I do to view it?","find,do,view",bill,"find,do,view,bill",FALSE
18584,"I didn't receive my invoice, I need help checking it","receive,need,checking","invoice,help","receive,need,checking,invoice,help",FALSE
18585,"i can't find my invoice, what should i do to view it?","find,do,view",invoice,"find,do,view,invoice",FALSE
18586,where to view my invoice,view,invoice,"view,invoice",FALSE
18587,can u ask an agent how i can view my invoices?,"ask,view","agent,invoices","ask,view,agent,invoices",FALSE
18588,"can u ask an agent how i could see my bills, please?","ask,see","agent,bills","ask,see,agent,bills",FALSE
18589,ask an agent if i can see my invoice,"ask,see","agent,invoice","ask,see,agent,invoice",FALSE
18590,"I didn't receive my invooce, what should I do to view it ?","receive,do,view",invooce,"receive,do,view,invooce",FALSE
18591,"please, could you ask an agent if I could view my fucking invoices?","ask,view","agent,invoices","ask,view,agent,invoices",FALSE
18592,could u ask an agent how i could check my fucking invoice?,"ask,check","agent,invoice","ask,check,agent,invoice",FALSE
18593,ask an agent if i can view my bills,"ask,view","agent,bills","ask,view,agent,bills",FALSE
18594,can u ask an agent where to see my bills?,"ask,see","agent,bills","ask,see,agent,bills",FALSE
18595,"I can't find my bill, can I see it?","find,see",bill,"find,see,bill",FALSE
18596,"i didn't receive my invoices, how do i view them?","receive,view",invoices,"receive,view,invoices",FALSE
18597,"I want to check my invoices, what can I do ?","want,check,do",invoices,"want,check,do,invoices",FALSE
18598,ask an agent  how I could see my invoice,"ask,see","agent,invoice","ask,see,agent,invoice",FALSE
18599,canu ask an agent if i can view my invoices?,"ask,view","agent,invoices","ask,view,agent,invoices",FALSE
18600,"I can't find my invoices, can I view them?","find,view",invoices,"find,view,invoices",FALSE
18601,"I can't find my bills, how can I view them?","find,view",bills,"find,view,bills",FALSE
18602,"I lost my invoice, can I view it?","lost,view",invoice,"lost,view,invoice",FALSE
18603,where can I see my invoice?,see,invoice,"see,invoice",FALSE
18604,can I see my bill?,see,bill,"see,bill",FALSE
18605,"I can't find my bills, check them","find,check",bills,"find,check,bills",FALSE
18606,"i losg my invoices, what  should i do to view them?","losg,do,view",invoices,"losg,do,view,invoices",FALSE
18607,can you check my bills?,check,bills,"check,bills",FALSE
18608,I didn't receive my invoice and I want to view it,"receive,want,view",invoice,"receive,want,view,invoice",FALSE
18609,"i can't find my bill , i need help viewing it","find,need,viewing","bill,help","find,need,viewing,bill,help",FALSE
18610,i can't find my invoices and i wanna check them,"find,wanna,check",invoices,"find,wanna,check,invoices",FALSE
18611,"I can't find my invoices, help me view them","find,help,view",invoices,"find,help,view,invoices",FALSE
18612,"I didn't receive my bill, what should I do to see it?","receive,do,see",bill,"receive,do,see,bill",FALSE
18613,"i can't find my bill, what do i have to do to see it?","find,have,do,see",bill,"find,have,do,see,bill",FALSE
18614,can i view my bills?,view,bills,"view,bills",FALSE
18615,"I lost my bill, check it","lost,check",bill,"lost,check,bill",FALSE
18616,"I didn't receive my bills, how do I view them?","receive,view",bills,"receive,view,bills",FALSE
18617,"I lost my bills, what should I do to see them?","lost,do,see",bills,"lost,do,see,bills",FALSE
18618,"I didn't receive my invoice, help me check it","receive,help,check",invoice,"receive,help,check,invoice",FALSE
18619,"I didn't receive my bills, can you check them?","receive,check",bills,"receive,check,bills",FALSE
18620,"please, can u ask an agent where i could heck my bill?","ask,heck","agent,bill","ask,heck,agent,bill",FALSE
18621,"I want to check my bill, what do I have to do?","want,check,have,do",bill,"want,check,have,do,bill",FALSE
18622,"I can't find my invoice, can I chedk it?","find,chedk",invoice,"find,chedk,invoice",FALSE
18623,"ask an agent where i can see my bills , please","ask,see","agent,bills","ask,see,agent,bills",FALSE
18624,"I can't find my invoice, help me see it","find,help,see",invoice,"find,help,see,invoice",FALSE
18625,can you show me my ibll ?,show,ibll,"show,ibll",FALSE
18626,"I can't finde my bills, how can I see them?","finde,see",bills,"finde,see,bills",FALSE
18627,how to check my invoices,check,invoices,"check,invoices",FALSE
18628,"I lost my bills, I need help viewing them","lost,need,viewing","bills,help","lost,need,viewing,bills,help",FALSE
18629,I lost my bills and I want to check them,"lost,want,check",bills,"lost,want,check,bills",FALSE
18630,how can I view my bills?,view,bills,"view,bills",FALSE
18631,how to view my bills,view,bills,"view,bills",FALSE
18632,I didn't receive my invoice and I want to check it,"receive,want,check",invoice,"receive,want,check,invoice",FALSE
18633,can I check my bill?,check,bill,"check,bill",FALSE
18634,"I didn't receive my invoices, could you check them, please?","receive,check",invoices,"receive,check,invoices",FALSE
18635,"i lost my inboices, what do i have to do to see tem?","lost,have,do,see",inboices,"lost,have,do,see,inboices",FALSE
18636,can u ask an agent if i can view my invoice?,"ask,view","agent,invoice","ask,view,agent,invoice",FALSE
18637,"i didn't receive my invoice, can u view it?","receive,view",invoice,"receive,view,invoice",FALSE
18638,"i lost my bills, i needd help viewing them","lost,needd,viewing","bills,help","lost,needd,viewing,bills,help",FALSE
18639,"I can't find my invoice, I need help checking it","find,need,checking","invoice,help","find,need,checking,invoice,help",FALSE
18640,"I lost my bills, what can I do to see them?","lost,do,see",bills,"lost,do,see,bills",FALSE
18641,I can't find my bklls and I want to check them,"find,want,check",bklls,"find,want,check,bklls",FALSE
18642,"I didn't receive my bill, what do I have to do to view it?","receive,have,do,view",bill,"receive,have,do,view,bill",FALSE
18643,"i can't find my bills, can u show them?","find,show",bills,"find,show,bills",FALSE
18644,can u ask an agent were to see my invoice?,"ask,see","agent,invoice","ask,see,agent,invoice",FALSE
18645,"could u ask an agent where i can check my fucking invoices, please?","ask,check","agent,invoices","ask,check,agent,invoices",FALSE
18646,"I can't find my invoice, how do I view it?","find,view",invoice,"find,view,invoice",FALSE
18647,information about my bill,,"information,bill",",information,bill",FALSE
18648,"I want to see my bill, what should I do?","want,see,do",bill,"want,see,do,bill",FALSE
18649,"i can't find my fucking invooice, could y view it, please?","find,view",,"find,view,",FALSE
18650,"i didn't receive my fucking invoices, can i check them?","receive,check",invoices,"receive,check,invoices",FALSE
18651,I can't find my bills and I want to view them,"find,want,view",bills,"find,want,view,bills",FALSE
18652,can you provide information about my invoice?,provide,"information,invoice","provide,information,invoice",FALSE
18653,"i wanna see my bills, can u help me?","wanna,see,help","bills,u","wanna,see,help,bills,u",FALSE
18654,could you ask an agent to show me information about my invoices?,"ask,show","agent,information,invoices","ask,show,agent,information,invoices",FALSE
18655,"i lost my bills, what do i have to do to see them?","lost,have,do,see",bills,"lost,have,do,see,bills",FALSE
18656,"I didn't receive my bill, can I see it?","receive,see",bill,"receive,see,bill",FALSE
18657,how to view my invoice,view,invoice,"view,invoice",FALSE
18658,"ask an agent where I could check my invoices, please","ask,check","agent,invoices","ask,check,agent,invoices",FALSE
18659,"I wan to view my bills, what can I do?","wan,view,do",bills,"wan,view,do,bills",FALSE
18660,"I lost my bill, can you show it?","lost,show",bill,"lost,show,bill",FALSE
18661,"I didn't receive my invoice, I need help seeing it","receive,need,help,seeing",invoice,"receive,need,help,seeing,invoice",FALSE
18662,"ask an agent how to check my fucking bill, please","ask,check","agent,bill","ask,check,agent,bill",FALSE
18663,I want to view my invoice,"want,view",invoice,"want,view,invoice",FALSE
18664,"i want to check my invopice, what can i do?","want,check,do",invopice,"want,check,do,invopice",FALSE
18665,how do I see my bills?,see,bills,"see,bills",FALSE
18666,"I lost my invoice, acn I check it?","lost,check",invoice,"lost,check,invoice",FALSE
18667,"I lost my bills, how do I see them?","lost,see",bills,"lost,see,bills",FALSE
18668,could u ask an agent if i can see my invoices?,"ask,see","agent,invoices","ask,see,agent,invoices",FALSE
18669,"I lost my bill, help me see it","lost,help,see",bill,"lost,help,see,bill",FALSE
18670,"I can't find my invoice, helpo me check it, please","find,check",invoice,"find,check,invoice",FALSE
18671,"I can't find my invoice, can you view it?","find,view",invoice,"find,view,invoice",FALSE
18672,can i see my invoices?,see,invoices,"see,invoices",FALSE
18673,I want information about my invoices,want,"information,invoices","want,information,invoices",FALSE
18674,"I didn't receive my invoices, help me view them","receive,help,view",invoices,"receive,help,view,invoices",FALSE
18675,"I lost my invoice, show it","lost,show",invoice,"lost,show,invoice",FALSE
18676,I can't find my bill and I want to see it,"find,want,see",bill,"find,want,see,bill",FALSE
18677,"I didn't receive my bills, how can I check them?","receive,check",bills,"receive,check,bills",FALSE
18678,"I can't find my bills, what do I have to do to check them?","find,have,do,check",bills,"find,have,do,check,bills",FALSE
18679,"I lost my invoicews, how do I see them?","lost,see",invoicews,"lost,see,invoicews",FALSE
18680,check my bill,check,bill,"check,bill",FALSE
18681,"I didn't receive my bills, how can I see them?","receive,see",bills,"receive,see,bills",FALSE
18682,check my bills,check,bills,"check,bills",FALSE
18683,"i didn't receive my bill and i want to see it, please","receive,want,see",bill,"receive,want,see,bill",FALSE
18684,"I didn't receive my invoices, what can I do to see them?","receive,do,see",invoices,"receive,do,see,invoices",FALSE
18685,"I didn't receive my bill, can I view it?","receive,view",bill,"receive,view,bill",FALSE
18686,"i  want to see my invoice, whaty should i do?","want,see,do",invoice,"want,see,do,invoice",FALSE
18687,"I didn't receive my invoices, can I check them?","receive,check",invoices,"receive,check,invoices",FALSE
18688,"I lost my invoices, what should I do to see them?","lost,do,see",invoices,"lost,do,see,invoices",FALSE
18689,"I didn't receive my bills, I need help seeing them","receive,need,help,seeing",bills,"receive,need,help,seeing,bills",FALSE
18690,"I can't find my fucking bills, can you view them?","find,view",bills,"find,view,bills",FALSE
18691,i lost my bills and i want to see them,"lost,want,see",bills,"lost,want,see,bills",FALSE
18692,"i can't find my bills, check them","find,check",bills,"find,check,bills",FALSE
18693,"I lost my invoices , what do I have to do to see them?","lost,have,do,see",invoices,"lost,have,do,see,invoices",FALSE
18694,"could u ask an agent where to view my fucking bills, please?","ask,view","agent,bills","ask,view,agent,bills",FALSE
18695,"i want to check my invoices, what do i have to do?","want,check,have,do",invoices,"want,check,have,do,invoices",FALSE
18696,where canI seemy bill?,,bill,",bill",FALSE
18697,"I lost my bill, how can I check it?","lost,check",bill,"lost,check,bill",FALSE
18698,"I lost my bills, help me view them","lost,help,view",bills,"lost,help,view,bills",FALSE
18699,can I view my invoice?,view,invoice,"view,invoice",FALSE
18700,"I didn't receive my bills, how do I see them?","receive,see",bills,"receive,see,bills",FALSE
18701,"i lost my bioll, what can i do to view it?","lost,do,view",bioll,"lost,do,view,bioll",FALSE
18702,can I view my bill?,view,bill,"view,bill",FALSE
18703,"I lost my bills, how do I check them?","lost,check",bills,"lost,check,bills",FALSE
18704,"I lost my invoices, what do I have to do to view them?","lost,have,do,view",invoices,"lost,have,do,view,invoices",FALSE
18705,"I want to see my invoice, can you help me?","want,see,help",invoice,"want,see,help,invoice",FALSE
18706,"I want to view my invoice, can you help me?","want,view,help",invoice,"want,view,help,invoice",FALSE
18707,"I can't find my bill, what should I do to check it?","find,do,check",bill,"find,do,check,bill",FALSE
18708,"I lost my invoices, how do I view them?","lost,view",invoices,"lost,view,invoices",FALSE
18709,"I didn't receive my invoice, view it","receive,view",invoice,"receive,view,invoice",FALSE
18710,"please, can you ask an agent how to check my bills?","ask,check","agent,bills","ask,check,agent,bills",FALSE
18711,"I can't find my invoices, how do I check them?","find,check",invoices,"find,check,invoices",FALSE
18712,"I want to check my invoices, what do I have to do?","want,check,have,do",invoices,"want,check,have,do,invoices",FALSE
18713,I can't find my fucking invoices and I would like to view them,"find,like,view",invoices,"find,like,view,invoices",FALSE
18714,I need help vieing my invoices,"need,vieing","help,invoices","need,vieing,help,invoices",FALSE
18715,can u give me information about my invoices?,give,"information,invoices","give,information,invoices",FALSE
18716,I need help checking my bills,"need,checking","help,bills","need,checking,help,bills",FALSE
18717,where can I check my invoices?,check,invoices,"check,invoices",FALSE
18718,how to see my bills,see,bills,"see,bills",FALSE
18719,"I can't find my invoice, how can I check it?","find,check",invoice,"find,check,invoice",FALSE
18720,I need information about my invoice,need,"information,invoice","need,information,invoice",FALSE
18721,"I didn't receiove my bill, help me view it","receiove,help,view",bill,"receiove,help,view,bill",FALSE
18722,"i lost my bills, what should i do to see them?","lost,do,see",bills,"lost,do,see,bills",FALSE
18723,can i check my invoices?,check,invoices,"check,invoices",FALSE
18724,I need help checking my invoice,"need,checking","help,invoice","need,checking,help,invoice",FALSE
18725,"I lost my invoices, can you view them?","lost,view",invoices,"lost,view,invoices",FALSE
18726,"I didn't receive my invoices, how do I check them?","receive,check",invoices,"receive,check,invoices",FALSE
18727,"i didn't receive my invoices, how do i see them?","receive,see",invoices,"receive,see,invoices",FALSE
18728,"I can't dind my invoices, can I see them ?","dind,see",invoices,"dind,see,invoices",FALSE
18729,ask an agent where to check my invoice,"ask,check","agent,invoice","ask,check,agent,invoice",FALSE
18730,"i can't find my bills, how do i see them?","find,see",bills,"find,see,bills",FALSE
18731,"i lost my bills, what should i do to view them?","lost,do,view",bills,"lost,do,view,bills",FALSE
18732,"I can't find my bill, how do I view it?","find,view",bill,"find,view,bill",FALSE
18733,"could u ask an agent to provide information about my fucking bills, please?","ask,provide","agent,information,bills","ask,provide,agent,information,bills",FALSE
18734,where to see my invoice,see,invoice,"see,invoice",FALSE
18735,i need information about my invoice,need,"information,invoice","need,information,invoice",FALSE
18736,could you ask an agent to show me information about my bills ?,"ask,show","agent,information,bills","ask,show,agent,information,bills",FALSE
18737,"I want to check my bill, can you help me?","want,check,help",bill,"want,check,help,bill",FALSE
18738,how do I view my bills?,view,bills,"view,bills",FALSE
18739,I didn't receive my bills and I want to see them,"receive,want,see",bills,"receive,want,see,bills",FALSE
18740,"i didn't receive my bills, how can i see them?","receive,see",bills,"receive,see,bills",FALSE
18741,where do I see my invoikces?,see,invoikces,"see,invoikces",FALSE
18742,I lost my invoice and I want to check it,"lost,want,check",invoice,"lost,want,check,invoice",FALSE
18743,how do i see my invoice?,see,invoice,"see,invoice",FALSE
18744,"I want to view my bill, what should I do ?","want,view,do",bill,"want,view,do,bill",FALSE
18745,i wanna see my bills,"wanna,see",bills,"wanna,see,bills",FALSE
18746,"I want to view my invoice, hwat do I have to do?","want,view,have,do",invoice,"want,view,have,do,invoice",FALSE
18747,"I didn't receive my bill, hwat can I do to see it?","receive,do,see",bill,"receive,do,see,bill",FALSE
18748,"I can't find my bills, what can I do to view them?","find,do,view",bills,"find,do,view,bills",FALSE
18749,I need information about my invoices,need,"information,invoices","need,information,invoices",FALSE
18750,"I lost my invoice, I need help seeing it","lost,need,help,seeing",invoice,"lost,need,help,seeing,invoice",FALSE
18751,how do I view my invoice?,view,invoice,"view,invoice",FALSE
18752,"i didn't receive my invoices, can i check them?","receive,check",invoices,"receive,check,invoices",FALSE
18753,"i didn't receive my invoice, what can i do to see it?","receive,do,see",invoice,"receive,do,see,invoice",FALSE
18754,I lost my invoice and I want to view it,"lost,want,view",invoice,"lost,want,view,invoice",FALSE
18755,"I didn't receive my invoices, I need help checking them","receive,need,checking","invoices,help","receive,need,checking,invoices,help",FALSE
18756,"I want to view my invoice, what can I do?","want,view,do",invoice,"want,view,do,invoice",FALSE
18757,"i lost my invoice, i need help viewing it","lost,need,viewing","invoice,help","lost,need,viewing,invoice,help",FALSE
18758,how can I check my bills?,check,bills,"check,bills",FALSE
18759,"I didn't receive my bills, help me check them","receive,help,check",bills,"receive,help,check,bills",FALSE
18760,"I lost my invoice, how can I see it?","lost,see",invoice,"lost,see,invoice",FALSE
18761,"could you ask an agent how I can check my bill, please?","ask,check","agent,bill","ask,check,agent,bill",FALSE
18762,i didn't receive my bill and i wanna see it,"receive,wanna,see",bill,"receive,wanna,see,bill",FALSE
18763,"I olst my bill, can I check them?","olst,check",bill,"olst,check,bill",FALSE
18764,"I can't find ny nills, can you check them?","find,check",nills,"find,check,nills",FALSE
18765,"I can't find my invoice, how do I check it?","find,check",invoice,"find,check,invoice",FALSE
18766,i need information about my bill,need,"information,bill","need,information,bill",FALSE
18767,"I didn't receive my invoices, can I view them?","receive,view",invoices,"receive,view,invoices",FALSE
18768,how to view my invoices,view,invoices,"view,invoices",FALSE
18769,could u ask an agent if i can see my bills?,"ask,see","agent,bills","ask,see,agent,bills",FALSE
18770,"I can't find my bills, how do I see them?","find,see",bills,"find,see,bills",FALSE
18771,I didn't receive my bipl and I want to view kt,"receive,want,view",bipl,"receive,want,view,bipl",FALSE
18772,"i lost my bills, could u check them, please?","lost,check",bills,"lost,check,bills",FALSE
18773,can you show me my invoice?,show,invoice,"show,invoice",FALSE
18774,"I lost my bills, whatshould I do to check them?","lost,do,check",bills,"lost,do,check,bills",FALSE
18775,I can't find my invoice andI want to see it,"find,want,see","invoice,andI","find,want,see,invoice,andI",FALSE
18776,"I want to check my invoice, what can I do?","want,check,do",invoice,"want,check,do,invoice",FALSE
18777,"I can't find my invoices, how do I see them?","find,see",invoices,"find,see,invoices",FALSE
18778,"could you ask an agent if I could check my invoice, please?","ask,check","agent,invoice","ask,check,agent,invoice",FALSE
18779,"I lost my bill, I need help seeing it","lost,need,help,seeing",bill,"lost,need,help,seeing,bill",FALSE
18780,"I can't find my bill, can I view it?","find,view",bill,"find,view,bill",FALSE
18781,help me check my bills,"help,check",bills,"help,check,bills",FALSE
18782,"I want to check my invoice, what do I have to do?","want,check,have,do",invoice,"want,check,have,do,invoice",FALSE
18783,"i wanna view my invoice, what should i do?","wanna,view,do",invoice,"wanna,view,do,invoice",FALSE
18784,"I lost my invoices, can I see them?","lost,see",invoices,"lost,see,invoices",FALSE
18785,I didn't receive my invoices and I want to view them,"receive,want,view",invoices,"receive,want,view,invoices",FALSE
18786,"I didn't receive my bills, show them","receive,show",bills,"receive,show,bills",FALSE
18787,"I didn't receive my invoices, I need help seeing them","receive,need,help,seeing",invoices,"receive,need,help,seeing,invoices",FALSE
18788,"I didn't receive  my invoice, how can I see it?","receive,see",invoice,"receive,see,invoice",FALSE
18789,"I lost my bills, what can I do to check them?","lost,do,check",bills,"lost,do,check,bills",FALSE
18790,how do I view my bill?,view,bill,"view,bill",FALSE
18791,"can you ask an agent how I can view my fucking invoice, please?","ask,view","agent,invoice","ask,view,agent,invoice",FALSE
18792,"I can't find my invoice, what can I do to check it?","find,do,check",invoice,"find,do,check,invoice",FALSE
18793,"I didn't receive my bills, I need help checking them","receive,need,checking","bills,help","receive,need,checking,bills,help",FALSE
18794,"i can't find my invoice, view it","find,view",invoice,"find,view,invoice",FALSE
18795,could u ask an agent if i can check my fucking bills?,"ask,check","agent,bills","ask,check,agent,bills",FALSE
18796,can you show me information about my invoice?,show,"information,invoice","show,information,invoice",FALSE
18797,how do I check my bills?,check,bills,"check,bills",FALSE
18798,"I lost my invoice, how do I see it?","lost,see",invoice,"lost,see,invoice",FALSE
18799,where to check my bill,check,bill,"check,bill",FALSE
18800,"i can't find my invoices, show them","find,show",invoices,"find,show,invoices",FALSE
18801,"I lots my invoice, how can Iview it?","lots,Iview",invoice,"lots,Iview,invoice",FALSE
18802,show me my bills,show,bills,"show,bills",FALSE
18803,"I lost my bills, I need help checking them","lost,need,checking","bills,help","lost,need,checking,bills,help",FALSE
18804,I need help viewing my invoice,"need,viewing","help,invoice","need,viewing,help,invoice",FALSE
18805,where do i view my bills?,view,bills,"view,bills",FALSE
18806,"I lost my invoice, can you check it?","lost,check",invoice,"lost,check,invoice",FALSE
18807,"I didn't receive my invoices, I need help viewing them","receive,need,viewing","invoices,help","receive,need,viewing,invoices,help",FALSE
18808,"i lost my bill, can i see it?","lost,see",bill,"lost,see,bill",FALSE
18809,i want to check my bills,"want,check",bills,"want,check,bills",FALSE
18810,"i didn't reecive my invoices, what can i do to check them?","reecive,do,check",invoices,"reecive,do,check,invoices",FALSE
18811,"i want to see my fucking invoice, what do i have to do?","want,see,have,do",invoice,"want,see,have,do,invoice",FALSE
18812,"ask an agent where i can se my bill, please","ask,se","agent,bill","ask,se,agent,bill",FALSE
18813,"I can't find my invoice, what do I have to do to see it?","find,have,do,see",invoice,"find,have,do,see,invoice",FALSE
18814,"I lost my invoices, can you check them?","lost,check",invoices,"lost,check,invoices",FALSE
18815,"can you ask an agent to shw me my bills, please?","ask,shw","agent,bills","ask,shw,agent,bills",FALSE
18816,"I lost my invoices, what should I do to view them?","lost,do,view",invoices,"lost,do,view,invoices",FALSE
18817,can u show me information about my invoice?,show,"information,invoice","show,information,invoice",FALSE
18818,"I lost my bill, I need help viewing it","lost,need,viewing","bill,help","lost,need,viewing,bill,help",FALSE
18819,"i wanna see my bill, what should i do?","wanna,see,do",bill,"wanna,see,do,bill",FALSE
18820,"I can't find my bills, help me check them","find,help,check",bills,"find,help,check,bills",FALSE
18821,I want information about my bill,want,"information,bill","want,information,bill",FALSE
18822,"id like to see my invoice, can u help me?","like,see,help","invoice,u","like,see,help,invoice,u",FALSE
18823,"please, can u ask an agent where i can view my fucking bills?","ask,view","agent,bills","ask,view,agent,bills",FALSE
18824,how can I see my invoices?,see,invoices,"see,invoices",FALSE
18825,"I lost my bill, I need help checking it","lost,need,checking","bill,help","lost,need,checking,bill,help",FALSE
18826,can you show me my bills?,show,bills,"show,bills",FALSE
18827,"i can't find my bills, how do i view them?","find,view",bills,"find,view,bills",FALSE
18828,can you tell me about my bills?,tell,bills,"tell,bills",FALSE
18829,"please, ask an agent for information about my fucking invoice",ask,"agent,information,invoice","ask,agent,information,invoice",FALSE
18830,help me see my bill,"help,see",bill,"help,see,bill",FALSE
18831,"i lost my invoices, can i check them?","lost,check",invoices,"lost,check,invoices",FALSE
18832,ask an agent how i can see my bill,"ask,see","agent,bill","ask,see,agent,bill",FALSE
18833,"I can't find my invoice, I need help seeing it","find,need,help,seeing",invoice,"find,need,help,seeing,invoice",FALSE
18834,"I want to view my invoices, what can I do?","want,view,do",invoices,"want,view,do,invoices",FALSE
18835,how to check my bill,check,bill,"check,bill",FALSE
18836,where to see my bgill,see,bgill,"see,bgill",FALSE
18837,how do I view my invoices?,view,invoices,"view,invoices",FALSE
18838,"I want to check my bills, what should I do ?","want,check,do",bills,"want,check,do,bills",FALSE
18839,"I lost my bill, can you check it?","lost,check",bill,"lost,check,bill",FALSE
18840,"I lost my bills, show them","lost,show",bills,"lost,show,bills",FALSE
18841,could you ask an agent if I could see my bill?,"ask,see","agent,bill","ask,see,agent,bill",FALSE
18842,where to check my invoice,check,invoice,"check,invoice",FALSE
18843,"I didn't receive my bill, can you check it?","receive,check",bill,"receive,check,bill",FALSE
18844,"i lost my invoices, can u view them?","lost,view",invoices,"lost,view,invoices",FALSE
18845,"I can't find my bills, can you show them?","find,show",bills,"find,show,bills",FALSE
18846,"i can't find my fucking invoices, can u show them, please?","find,show",invoices,"find,show,invoices",FALSE
18847,"I didn't receive my bill, how can I view it?","receive,view",bill,"receive,view,bill",FALSE
18848,where do i view my bill?,view,bill,"view,bill",FALSE
18849,help me view my invoice,"help,view",invoice,"help,view,invoice",FALSE
18850,"I didn't receive my invoices, check them","receive,check",invoices,"receive,check,invoices",FALSE
18851,"I can't find my fucking bills, can I check them?","find,check",bills,"find,check,bills",FALSE
18852,"I want to see my invoices, what do I have to do?","want,see,have,do",invoices,"want,see,have,do,invoices",FALSE
18853,I didn't receive my bills and I want to check them,"receive,want,check",bills,"receive,want,check,bills",FALSE
18854,where can I view my bill?,view,bill,"view,bill",FALSE
18855,"i didn't receive my bills, what do i have to do to check them?","receive,have,do,check",bills,"receive,have,do,check,bills",FALSE
18856,"I lost my invoices, what should I do to check them?","lost,do,check",invoices,"lost,do,check,invoices",FALSE
18857,"i can't find my invoices, can u view them?","find,view",invoices,"find,view,invoices",FALSE
18858,can u show me my bills?,show,bills,"show,bills",FALSE
18859,"i lost my invoices, how can i view them?","lost,view",invoices,"lost,view,invoices",FALSE
18860,"i can't find my invoice, i need help seeing it, please","find,need,seeing","invoice,help","find,need,seeing,invoice,help",FALSE
18861,can i view my invoice?,view,invoice,"view,invoice",FALSE
18862,can you check my invoices?,check,invoices,"check,invoices",FALSE
18863,"I can't find my invoice, what should I do to see it?","find,do,see",invoice,"find,do,see,invoice",FALSE
18864,"I lost my invoices, show them","lost,show",invoices,"lost,show,invoices",FALSE
18865,I need help seeing my bills,"need,seeing","help,bills","need,seeing,help,bills",FALSE
18866,"I lost my invoices, how can I see them?","lost,see",invoices,"lost,see,invoices",FALSE
18867,"I lost my invoice, can you show it?","lost,show",invoice,"lost,show,invoice",FALSE
18868,"I wolud like to see my bill, hat can I do?","wolud,like,see,do","bill,hat","wolud,like,see,do,bill,hat",FALSE
18869,I lost my bill and I want to view it,"lost,want,view",bill,"lost,want,view,bill",FALSE
18870,"i didn't receive my bills, can i see them?","receive,see",bills,"receive,see,bills",FALSE
18871,"i wanna check my invoices , what can i do?","wanna,check,do",invoices,"wanna,check,do,invoices",FALSE
18872,"I didn't receive my bills, can I see them?","receive,see",bills,"receive,see,bills",FALSE
18873,"please, could u ask an agent how to check my bill?","ask,check","agent,bill","ask,check,agent,bill",FALSE
